id,draft_year,draft_position,height,height_inches
abdelal01,1991,25,6-10,82
abdulka01,1970,1,7-2,86
abdulma02,1991,3,6-1,73
abdulta01,1998,11,6-6,78
abdursh01,1997,3,6-9,81
abernto01,1977,43,6-7,79
abrinal01,2014,32,6-6,78
achiupr01,2021,20,6-8,80
ackeral01,2006,60,6-5,77
acresma01,1986,40,6-11,83
acyqu01,2013,37,6-7,79
adamsal01,1976,4,6-9,81
adamsha01,2007,54,6-4,76
adamsja01,2019,NA,6-0,72
adamsjo01,2015,22,6-5,77
adamsmi01,1986,66,5-10,70
adamsst01,2014,12,6-11,83
addisra01,1987,39,6-7,79
adebaba01,2018,14,6-9,81
adelde01,2019,NA,6-7,79
adrieje01,2011,NA,6-7,79
afflaar01,2008,27,6-5,77
agbajoc01,2023,14,6-5,77
agerma01,2007,28,6-5,77
aguirma01,1982,1,6-6,78
ahearbl01,2008,NA,6-2,74
aingeda01,1982,31,6-5,77
ajincal01,2009,20,7-2,86
akognjo01,2013,NA,5-11,71
akoonde01,2019,NA,6-6,78
alabiso01,2011,50,7-1,85
alarima01,1987,18,6-8,80
aldamsa01,2022,30,7-0,84
aldemfu01,2013,53,6-10,82
aldrico01,2011,11,6-11,83
aldrila01,2007,2,6-11,83
aleksch01,1983,76,6-11,83
alexacl01,2016,NA,6-8,80
alexaco01,1996,29,6-1,73
alexaco02,2001,13,6-5,77
alexaga01,1994,NA,6-7,79
alexajo01,2009,8,6-8,80
alexaky01,2020,NA,6-11,83
alexani01,2020,17,6-5,77
alexatr01,2025,NA,6-5,77
alexaty01,2021,NA,6-3,75
alexavi01,1992,17,6-9,81
alforst01,1988,26,6-2,74
alkinra01,2019,NA,6-5,77
allengr01,2019,21,6-3,75
allenja01,2018,22,6-9,81
allenje01,1996,49,6-4,76
allenka01,2018,53,6-1,73
allenla01,2012,50,6-9,81
allenma01,2002,NA,6-10,82
allenra01,1989,NA,6-8,80
allenra02,1997,5,6-5,77
allenti01,2024,NA,6-6,78
allento01,2005,25,6-4,76
allrela01,2008,NA,6-11,83
allumda01,1981,103,6-9,81
almonmo01,2008,25,6-6,78
alstode01,1995,33,6-11,83
alstora01,1999,39,6-2,74
alumape01,1999,NA,6-10,82
alvarjo01,2022,NA,6-0,72
amaecjo01,1996,NA,6-10,82
amayaas01,1996,NA,6-8,80
aminual01,2011,8,6-9,81
amundlo01,2007,NA,6-9,81
anderal01,2006,NA,6-6,78
anderan02,2010,NA,6-6,78
anderch01,2002,NA,6-10,82
anderda03,2003,37,6-11,83
anderde01,1998,13,6-5,77
anderdw01,1983,41,6-3,75
anderer01,1993,NA,6-9,81
andergr01,1988,23,6-10,82
anderja01,2011,20,6-6,78
anderjj01,1983,36,6-8,80
anderju01,2016,21,6-6,78
anderke01,1992,2,6-1,73
anderky01,2015,30,6-8,80
andermi01,1989,73,5-11,71
anderni01,1990,11,6-6,78
anderri01,1983,32,6-10,82
anderro01,1985,27,6-7,79
anderry01,2009,21,6-9,81
andersh01,1997,54,6-6,78
anderwi01,1989,10,6-7,79
andrima01,2006,44,7-2,86
anigbik01,2018,47,6-9,81
anslemi01,1990,37,6-7,79
anstech01,1998,18,7-0,84
antetgi01,2014,15,6-11,83
antetko01,2019,60,6-10,82
antetth01,2015,51,6-7,79
anthoca01,2004,3,6-7,79
anthoco01,2021,15,6-2,74
anthogr01,1992,12,6-0,72
anthojo01,2008,NA,6-9,81
anticpe01,2014,NA,6-11,83
anunoog01,2018,23,6-7,79
applike01,2016,NA,6-1,73
araujra01,2005,8,6-11,83
archiro01,2003,32,6-11,83
architi01,1971,19,6-1,73
arcidry01,2018,NA,6-3,75
arenagi01,2002,31,6-4,76
arizatr01,2005,43,6-8,80
arlaujo01,1988,74,6-9,81
armeltr01,2025,NA,6-9,81
armstbj01,1990,18,6-2,74
armstbr01,2002,23,6-5,77
armstda01,1995,NA,6-1,73
armsthi01,2007,12,6-11,83
arroyca01,2002,NA,6-2,74
artesro01,2000,16,6-7,79
arthuda01,2009,27,6-9,81
artisja01,2018,NA,6-7,79
asikom01,2009,36,7-0,84
askewvi01,1988,39,6-6,78
askinke01,1991,NA,6-7,79
atkinch01,2000,NA,5-11,71
augmost01,1992,9,6-8,80
augusdj01,2009,9,5-11,71
augusja01,2007,41,6-10,82
austiis01,1992,48,6-10,82
austike01,1984,101,6-9,81
avdijde01,2021,9,6-8,80
aventan01,1992,15,6-9,81
averywi01,2000,14,6-2,74
awtrede01,1971,46,6-10,82
ayayijo01,2022,NA,6-4,76
ayongu01,2012,NA,6-10,82
aytonde01,2019,1,7-0,84
azubuke01,2007,NA,6-5,77
azubuud01,2021,27,6-11,83
babbch01,2014,NA,6-5,77
babbilu01,2011,16,6-9,81
babicmi01,1991,50,7-0,84
bacondw01,2018,40,6-6,78
badjiib01,2024,NA,6-10,82
bagarda01,2001,24,7-1,85
baglejo01,1983,12,6-0,72
baglema01,2019,2,6-10,82
baglema02,2025,NA,6-8,80
baileac01,2026,5,6-9,81
baileam01,2024,41,6-3,75
baileca01,1981,66,7-0,84
bailegu01,1975,23,6-5,77
baileja01,1980,6,6-9,81
baileth01,1984,7,6-11,83
baileto01,1999,45,6-6,78
bairsca01,2015,49,6-9,81
bakerla01,1999,NA,6-1,73
bakerma01,2005,NA,6-1,73
bakerro01,2017,NA,6-4,76
bakervi01,1994,8,6-11,83
baldwpa01,2023,28,7-0,84
baldwwa01,2017,17,6-4,76
balkmre01,2007,20,6-8,80
ballagr01,1978,4,6-7,79
ballce01,1991,NA,6-8,80
ballla01,2021,3,6-7,79
balllo01,2018,2,6-5,77
bambamo01,2019,6,7-0,84
banchpa01,2023,1,6-10,82
banede01,2021,30,6-6,78
banksge01,1982,28,6-7,79
banksma01,2004,13,6-2,74
bannike01,1985,156,6-9,81
bantoda01,2022,46,6-8,80
bantomi01,1974,8,6-9,81
barbeca01,2022,NA,6-2,74
barbole01,2004,28,6-3,75
bardost01,1991,41,6-5,77
bareajo01,2007,NA,5-10,70
bargnan01,2007,1,7-0,84
barklch01,1985,5,6-6,78
barkler01,2001,28,6-1,73
barlodo01,2023,NA,6-9,81
barneha02,2013,7,6-7,79
barnema01,1975,2,6-9,81
barnema02,2003,46,6-7,79
