split,metric,bias,rmse,avg_log_loss,n_obs
all,games,-0.0068,0.0485,2.3661,12327
all,usg,0.0003,0.0051,-3.3643,12327
all,pct_minutes,-0.0002,0.0216,-1.7717,12327
all,obpm,-0.01,0.326,6297.333,12327
all,dbpm,0.0037,0.1522,6611.6911,12327
all,blk,0.0118,0.0306,2.3029,12327
all,stl,0.0359,0.0374,2.6569,12327
all,ast,0.0345,0.0394,3.1391,12327
all,dreb,0.0004,0.1491,3.4307,12327
all,oreb,0.0331,0.0364,2.8058,12327
all,tov,0.0835,0.0837,2.962,12327
all,fta,0.03,0.0345,3.3663,12327
all,fg2a,0.0512,0.0513,3.8925,12327
all,fg3a,0.0027,0.0096,2.9511,12327
all,ftm,-0.0145,0.0469,2.2736,12298
all,fg2m,0.0325,0.0328,2.9847,12326
all,fg3m,0.0158,0.0508,2.1393,11154
holdout,games,-0.1544,0.2486,13.4598,413
holdout,usg,0.0033,0.0276,-0.1878,413
holdout,pct_minutes,-0.0263,0.1132,-0.1982,413
holdout,obpm,-0.2849,1.7638,188097.068,413
holdout,dbpm,0.1106,0.8237,197502.6686,413
holdout,blk,0.1395,0.174,4.5717,413
holdout,stl,0.0517,0.2867,4.2349,413
holdout,ast,0.05,0.6107,6.0573,413
holdout,dreb,0.0088,0.809,6.8668,413
holdout,oreb,0.0884,0.3606,5.0184,413
holdout,tov,0.154,0.4496,4.8024,413
holdout,fta,0.182,0.9985,9.1534,413
holdout,fg2a,0.2213,1.9662,8.7005,413
holdout,fg3a,0.0213,0.0466,9.7843,413
holdout,ftm,-0.1241,0.3292,3.7102,413
holdout,fg2m,0.0081,0.0586,5.2944,413
holdout,fg3m,0.0974,0.2317,3.7702,373
non_holdout,games,-0.001,0.001,1.9815,11914
non_holdout,usg,0.0002,0.0003,-3.4744,11914
non_holdout,pct_minutes,0.0007,0.0044,-1.8262,11914
non_holdout,obpm,-0.0002,0.0003,-4.773,11914
non_holdout,dbpm,-0.0,0.0,-5.5637,11914
non_holdout,blk,0.0083,0.0113,2.2242,11914
non_holdout,stl,0.0359,0.0374,2.6022,11914
non_holdout,ast,0.0345,0.0394,3.038,11914
non_holdout,dreb,0.0001,0.0014,3.3115,11914
non_holdout,oreb,0.0331,0.0364,2.7292,11914
non_holdout,tov,0.0835,0.0837,2.8982,11914
non_holdout,fta,0.03,0.0345,3.1657,11914
non_holdout,fg2a,0.0512,0.0512,3.7258,11914
non_holdout,fg3a,0.002,0.0031,2.7142,11914
non_holdout,ftm,-0.0128,0.0244,2.2237,11885
non_holdout,fg2m,0.0325,0.0328,2.9047,11913
non_holdout,fg3m,0.0128,0.0265,2.0828,10781
