split,metric,bias,rmse,avg_log_loss,n_obs
all,games,-0.1611,0.176,3.8453,12327
all,usg,0.0001,0.018,-2.4813,12327
all,pct_minutes,-0.0013,0.084,-1.0363,12327
all,obpm,-0.0095,1.1493,1.7034,12327
all,dbpm,-0.0036,0.6629,1.1532,12327
all,blk,0.1269,0.1782,3.0584,12327
all,stl,0.4579,0.5345,3.2591,12327
all,ast,0.5027,0.6219,4.6282,12327
all,dreb,0.0546,0.4885,4.3877,12327
all,oreb,0.5045,0.6204,3.6596,12327
all,tov,0.9929,1.01,3.7748,12327
all,fta,0.823,1.0038,4.468,12327
all,fg2a,0.6539,0.6541,5.0728,12327
all,fg3a,0.0421,0.0987,4.2138,12327
all,ftm,-0.1386,0.2389,2.9517,12298
all,fg2m,0.3016,0.316,3.5424,12326
all,fg3m,0.1522,0.2246,2.5917,11154
holdout,games,-0.216,0.2581,4.0124,413
holdout,usg,0.0005,0.0246,-1.9911,413
holdout,pct_minutes,-0.0121,0.1109,-0.6389,413
holdout,obpm,-0.1588,1.3914,1.9377,413
holdout,dbpm,-0.0468,0.7578,1.2982,413
holdout,blk,0.2025,0.2308,4.0778,413
holdout,stl,0.0682,0.2526,3.7962,413
holdout,ast,0.1152,0.5865,5.8509,413
holdout,dreb,0.0885,0.6625,5.3583,413
holdout,oreb,0.0606,0.3058,4.4506,413
holdout,tov,0.0793,0.3799,4.4265,413
holdout,fta,0.1779,0.8745,4.8233,413
holdout,fg2a,0.1098,1.4209,5.288,413
holdout,fg3a,0.0434,0.0978,4.7127,413
holdout,ftm,-0.114,0.381,3.3844,413
holdout,fg2m,0.0012,0.0388,3.9769,413
holdout,fg3m,0.1668,0.2744,3.0279,373
non_holdout,games,-0.1589,0.1719,3.8395,11914
non_holdout,usg,0.0,0.0177,-2.4983,11914
non_holdout,pct_minutes,-0.0009,0.0829,-1.0501,11914
non_holdout,obpm,-0.0042,1.1398,1.6953,11914
non_holdout,dbpm,-0.0021,0.6593,1.1482,11914
non_holdout,blk,0.1248,0.1765,3.0231,11914
non_holdout,stl,0.4579,0.5345,3.2405,11914
non_holdout,ast,0.5027,0.6219,4.5858,11914
non_holdout,dreb,0.0535,0.4812,4.3541,11914
non_holdout,oreb,0.5045,0.6204,3.6322,11914
non_holdout,tov,0.9929,1.01,3.7522,11914
non_holdout,fta,0.823,1.0038,4.4557,11914
non_holdout,fg2a,0.6539,0.6541,5.0653,11914
non_holdout,fg3a,0.042,0.0987,4.1965,11914
non_holdout,ftm,-0.139,0.2361,2.9366,11885
non_holdout,fg2m,0.3018,0.3161,3.5274,11913
non_holdout,fg3m,0.1517,0.2226,2.5766,10781
