split,metric,bias,rmse,avg_log_loss,n_obs
all,games,-0.011,0.0586,2.391,12327
all,usg,0.0027,0.0146,-2.624,12327
all,pct_minutes,0.0004,0.0201,-1.7801,12327
all,obpm,0.0011,0.33,378.4937,12327
all,dbpm,-0.0018,0.1526,78.3876,12327
all,blk,0.0516,27.9383,6187.2203,12327
all,stl,0.0427,0.0692,14.464,12327
all,ast,0.0532,0.0573,7.4577,12327
all,dreb,0.1997,1.4711,6.2552,12327
all,oreb,0.047,0.2103,21.6669,12327
all,tov,0.0751,0.0872,9.0489,12327
all,fta,0.0531,0.0574,5.8014,12327
all,fg2a,0.0825,0.0832,4.712,12327
all,fg3a,0.5676,53.8265,6.6147,12327
all,ftm,-0.0362,0.0713,2.3276,12298
all,fg2m,0.0811,0.0818,2.9419,12326
all,fg3m,0.0732,0.1065,2.1456,11154
holdout,games,-0.2153,0.2998,13.8518,413
holdout,usg,0.0712,0.0787,21.9055,413
holdout,pct_minutes,-0.015,0.1031,-0.4604,413
holdout,obpm,0.0338,1.7853,11394.1169,413
holdout,dbpm,-0.053,0.8254,2436.7558,413
holdout,blk,1.3099,170.433,184608.5511,413
holdout,stl,9.925,39.3546,356.6367,413
holdout,ast,6.0698,9.5443,134.9452,413
holdout,dreb,5.8081,7.9802,91.1697,413
holdout,oreb,33.8904,204.3481,567.9585,413
holdout,tov,6.7065,15.6164,186.4767,413
holdout,fta,6.235,10.343,81.8215,413
holdout,fg2a,4.6556,5.3941,33.1588,413
holdout,fg3a,14.5862,274.4422,118.8138,413
holdout,ftm,-0.2137,0.3702,5.2281,413
holdout,fg2m,-0.0013,0.0395,4.0041,413
holdout,fg3m,0.259,0.3461,3.3435,373
non_holdout,games,-0.0029,0.003,1.9937,11914
non_holdout,usg,0.0003,0.0004,-3.4743,11914
non_holdout,pct_minutes,0.001,0.0056,-1.8258,11914
non_holdout,obpm,-0.0,0.0004,-3.364,11914
non_holdout,dbpm,0.0,0.0,-3.3654,11914
non_holdout,blk,0.0168,0.0215,2.227,11914
non_holdout,stl,0.0427,0.0445,2.6026,11914
non_holdout,ast,0.0532,0.0566,3.0383,11914
non_holdout,dreb,0.0024,0.0043,3.3116,11914
non_holdout,oreb,0.0469,0.0489,2.7297,11914
non_holdout,tov,0.0751,0.0752,2.8983,11914
non_holdout,fta,0.0531,0.0569,3.1662,11914
non_holdout,fg2a,0.0825,0.0825,3.7259,11914
non_holdout,fg3a,0.0067,0.0102,2.7253,11914
non_holdout,ftm,-0.0335,0.0555,2.2268,11885
non_holdout,fg2m,0.0812,0.0819,2.905,11913
non_holdout,fg3m,0.0664,0.0857,2.1042,10781
